ID_DOM;CodIBGE7;CodUF;C01;C02D;C02M;C02A;C04;C05;C05A;C06_01;C07_01;C08_01;C09_01;C06_02;C07_02;C08_02;C09_02;C06_03;C07_03;C08_03;C09_03;C10A;C10B;C11;C21;C22;C23_01;C23_02;C23_03;C23_04;C23_05;C24;C25;C26_01;C26_02;C26_03;C26_04;C26_05;C27_01;C27_02;C27_03;C27_04;C27_05;C27_99;C28_01;C28_02;C28_03;C28_04;C28_05;C28_06;C28_07;C28_08;C28_99;C29_01;C29_02;C29_03;C29_04;C29_05;C29_06;C29_99;C40;C41_01;C41_02;C41_03;C41_04;C41_05;C41_06;C41_07;C41_08;C41_09;C41_10;C41_11;C41_12;C46_01;C46_02;C46_03;C46_04;C46_05;C46_06;C46_07;C46_08;C46_09;C46_10;C47;C48_01;C48_02;C48_03;C48_04;C48_05;C48_06;C48_07;c48_08;C49_01;C49_02;C49_03;C49_04;C49_05;C49_06;C49_07;C49_08;C49_09;C49_10;C49_11;C49_12;C49_13;C49_14;C49_15;C49_16;C49_17;C49_18;C49_19;C49_20;C49_97;C49_99;C50;C51_01;C51_02;C51_03;C51_04;C51_05;C51_06;C51_07;C51_08;C51_09;C51_10;C51_11;C51_12;C51_13;C51_14;C51_15;c51_16;c51_17;C52;C53_01;C53_02;C53_03;C53_04;C53_05;C53_06;C53_07;c53_08;c53_09;C64;C69;C70_01;C70_02;C70_03;C70_04;C70_05;C70_06;c70_07;C71_01;C71_02;C71_03;C71_04;c71_05;C71_99;C72;C73_01;C73_02;C73_03;C73_04;C73_05;C73_06;C73_07;C73_08;C73_09;c73_10;c73_11;C73_99;C74_01;C74_02;C74_03;C74_04;C74_05;C74_06;C74_07;C74_08;C74_09;C74_10;C74_11;C74_12;C74_13;c74_14;c74_15;c74_16;c74_17;c74_18;C74_99;C75;C76A;C76B;C76C;C76D;C76E;C76F;C77_01;C77_02;C77_03;C77_04;C77_05;C77_06;c77_07;c77_08;c77_09;c77_10;c77_11;C77_97;C77_99;C97;C98
1;1101476;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;1200385;12;1;22;11;1980;1;1;1;3;4;40;4; ; ; ; ; ; ; ; ;200;9999,97;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1;2; ; ; ; ;1; ; ; ; ;6; ; ; ; ; ;3; ; ; ; ;2;1;2; ; ; ; ; ;8; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;7; ; ; ;3;4; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1;1;1;1; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1
3;2311801;23;1;25;5;1984;3;1;1;2;3;5;5; ; ; ; ; ; ; ; ;220;9999,97;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;7; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;3;2; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;9; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1;1;1;1;1; ; ;4; ; ; ; ; ; ; ; ; ;1;1
4;2311801;23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5;2311801;23;1;24;6;1975;1;1;1;3;3;30;5; ; ; ; ; ; ; ; ;300;9999,97;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;7; ;1; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ;1; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1;1;1;1; ;2; ;4; ; ; ; ; ; ; ; ; ;1;1
6;1302603;13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7;3118809;31;1;29;8;1964;1;1;1;3;3;48;1; ; ; ; ; ; ; ; ;300;9999,97;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ;6; ; ; ;1; ; ; ; ; ; ;3;1;2; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ;6; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;3; ;5;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ;1; ;3; ; ; ;1; ; ; ; ; ; ; ; ;9; ; ; ; ; ;3;4; ; ; ; ; ; ; ; ; ;14; ; ; ; ; ;2;1;2;1;1;2;2; ;2;3; ; ;6; ; ; ; ; ; ; ;1;1
8;3118809;31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
9;3118809;31;2;15;2;1956;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ;6; ; ; ; ; ; ;4; ; ; ;3;1;2; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ;7; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;99;1; ; ; ; ; ; ; ; ;9; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18; ;2;1;1;1;1;1;1; ; ;3;4; ;6; ; ; ; ; ; ; ;1;1
10;3118809;31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11;3118809;31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12;3118809;31;2;12;10;1953;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1;2; ; ; ; ;1; ; ; ; ;6; ; ; ;1; ; ; ; ; ; ;3;1; ; ; ; ; ; ;8;9; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;7; ; ;2; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;6; ;8; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ;9; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;1;1;2;2; ;2; ;4; ;6; ; ; ; ; ; ; ;1;1
13;3118809;31;2;7;2;1965;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1;2; ; ; ; ;1; ; ; ; ;6; ; ; ;1; ; ; ; ; ; ;3;1;2; ; ; ; ; ;8; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;7; ; ; ; ; ;5; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ;1; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1;1;99;1; ; ;3;4; ;6; ; ; ; ; ; ; ;1;1
14;3118809;31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
15;3118809;31;1;11;8;1951;3;1;1;3;3;40;6; ; ; ; ; ; ; ; ;9999,97;9999,97;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ;6; ; ; ;1; ; ; ; ; ; ;2;1;2; ; ; ; ; ;8; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;7; ; ;2; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ;19; ; ; ;2; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18; ;2;1;2;1;1;2;1;1; ;3;4; ; ; ; ; ; ; ; ; ;1;1
16;3118809;31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
17;3118809;31;1;19;8;1969;2;1;1;3;3;36;5; ; ; ; ; ; ; ; ;300;9999,97;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ;6; ; ; ;1;2; ; ; ; ; ;1;1;2; ; ; ; ; ; ; ; ;11; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;7; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ;1; ; ;4; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17; ; ;2;1;1;1;1;1;1;1; ; ;4; ;6; ; ; ; ; ; ; ;1;1
