ID_DOM;nMora;CodIBGE7;CodUF;qMora;R14;R15;R16
1;1;1101476;11;3;1;1;200
1;2;1101476;11;3;2;1;200
1;3;1101476;11;3;3;2; 
2;1;1200385;12;7;1;1;545
2;2;1200385;12;7;2;1;200
2;3;1200385;12;7;3;2; 
2;4;1200385;12;7;3;2; 
2;5;1200385;12;7;3;2; 
2;6;1200385;12;7;3;2; 
2;7;1200385;12;7;3;2; 
3;1;2311801;23;3;1;1;102
3;2;2311801;23;3;2;1;200
3;3;2311801;23;3;3;2; 
4;1;2311801;23;2;1;1;635
4;2;2311801;23;2;3;2; 
5;1;2311801;23;5;1;1;134
5;2;2311801;23;5;2;1;300
5;3;2311801;23;5;3;2; 
5;4;2311801;23;5;3;2; 
5;5;2311801;23;5;3;2; 
6;1;1302603;13;4;1;1;68
6;2;1302603;13;4;4;2; 
6;3;1302603;13;4;9;2; 
6;4;1302603;13;4;5;2; 
7;1;3118809;31;10;1;1;674
7;2;3118809;31;10;2;1;200
7;3;3118809;31;10;3;2; 
7;4;3118809;31;10;3;2; 
7;5;3118809;31;10;3;2; 
7;6;3118809;31;10;3;2; 
7;7;3118809;31;10;3;2; 
7;8;3118809;31;10;3;2; 
7;9;3118809;31;10;4;2; 
7;10;3118809;31;10;5;2; 
8;1;3118809;31;2;1;1;100
8;2;3118809;31;2;4;1;150
9;1;3118809;31;7;1;1;412
9;2;3118809;31;7;2;1;545
9;3;3118809;31;7;4;2; 
9;4;3118809;31;7;3;2; 
9;5;3118809;31;7;3;2; 
9;6;3118809;31;7;3;2; 
9;7;3118809;31;7;3;2; 
10;1;3118809;31;10;1;1;1230
10;2;3118809;31;10;4;2; 
10;3;3118809;31;10;4;2; 
10;4;3118809;31;10;4;2; 
10;5;3118809;31;10;5;2; 
10;6;3118809;31;10;5;2; 
10;7;3118809;31;10;5;2; 
10;8;3118809;31;10;3;2; 
10;9;3118809;31;10;5;2; 
10;10;3118809;31;10;6;2; 
11;1;3118809;31;4;1;1;90
11;2;3118809;31;4;2;1;160
11;3;3118809;31;4;4;2; 
11;4;3118809;31;4;3;2; 
12;1;3118809;31;5;1;1;562
12;2;3118809;31;5;2;2; 
12;3;3118809;31;5;4;1;50
12;4;3118809;31;5;3;2; 
12;5;3118809;31;5;4;1;50
13;1;3118809;31;3;1;1;290
13;2;3118809;31;3;2;2; 
13;3;3118809;31;3;3;2; 
14;1;3118809;31;4;1;1;500
14;2;3118809;31;4;2;1;100
14;3;3118809;31;4;3;2; 
14;4;3118809;31;4;3;2; 
15;1;3118809;31;4;1;1;613
15;2;3118809;31;4;2;2; 
15;3;3118809;31;4;4;2; 
15;4;3118809;31;4;4;2; 
16;1;3118809;31;4;1;1;112
16;2;3118809;31;4;2;1;150
16;3;3118809;31;4;3;2; 
16;4;3118809;31;4;3;2; 
17;1;3118809;31;3;1;1;98
17;2;3118809;31;3;2;1;150
17;3;3118809;31;3;5;2; 
18;1;5221601;52;2;1;1;250
18;2;5221601;52;2;3;1;100
19;1;5201702;52;5;1;1;70
19;2;5201702;52;5;2;1;600
19;3;5201702;52;5;4;2; 
19;4;5201702;52;5;4;2; 
19;5;5201702;52;5;3;2; 
20;1;5201702;52;4;1;1;101
20;2;5201702;52;4;2;1;150
20;3;5201702;52;4;3;2; 
20;4;5201702;52;4;5;2; 
21;1;2905206;29;5;1;1;30
21;2;2905206;29;5;2;1;700
21;3;2905206;29;5;4;2; 
21;4;2905206;29;5;3;2; 
21;5;2905206;29;5;3;2; 
22;1;3167103;31;3;1;1;60
22;2;3167103;31;3;9;1;540
22;3;3167103;31;3;3;2; 
23;1;4126256;41;4;1;1;300
23;2;4126256;41;4;3;2; 
23;3;4126256;41;4;3;2; 
23;4;4126256;41;4;3;2; 
24;1;2311306;23;3;1;2; 
24;2;2311306;23;3;2;1;200
24;3;2311306;23;3;3;2; 
25;1;2200202;22;5;1;1;68
25;2;2200202;22;5;4;2; 
25;3;2200202;22;5;3;1;34
25;4;2200202;22;5;4;1;540
25;5;2200202;22;5;3;2; 
26;1;2209351;22;4;1;1;70
26;2;2209351;22;4;2;1;300
26;3;2209351;22;4;3;2; 
26;4;2209351;22;4;3;1;42
27;1;2209351;22;4;1;1;320
27;2;2209351;22;4;2;2; 
27;3;2209351;22;4;4;2; 
27;4;2209351;22;4;3;1;32
28;1;5218805;52;1;1;1;900
29;1;4314902;43;4;1;1;250
29;2;4314902;43;4;2;1;400
29;3;4314902;43;4;4;1;50
29;4;4314902;43;4;3;2; 
30;1;4314902;43;6;1;1;100
30;2;4314902;43;6;4;2; 
30;3;4314902;43;6;3;2; 
30;4;4314902;43;6;3;2; 
30;5;4314902;43;6;3;2; 
30;6;4314902;43;6;3;2; 
31;1;4202156;42;5;1;1;400
31;2;4202156;42;5;2;1;350
31;3;4202156;42;5;3;2; 
31;4;4202156;42;5;3;2; 
31;5;4202156;42;5;3;2; 
32;1;4202156;42;5;1;1;40
32;2;4202156;42;5;4;2; 
32;3;4202156;42;5;3;2; 
32;4;4202156;42;5;3;2; 
32;5;4202156;42;5;3;2; 
33;1;4202156;42;3;1;1;430
33;2;4202156;42;3;3;2; 
33;3;4202156;42;3;3;2; 
34;1;4202156;42;7;1;2; 
34;2;4202156;42;7;2;1;450
34;3;4202156;42;7;3;2; 
34;4;4202156;42;7;3;2; 
34;5;4202156;42;7;3;2; 
34;6;4202156;42;7;3;2; 
34;7;4202156;42;7;3;2; 
35;1;4202156;42;5;1;1;600
35;2;4202156;42;5;4;1;200
35;3;4202156;42;5;4;1;200
